Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Apartamentos,47m²,130000,2,1,1,Vale do Gavião
Apartamentos,48m²,160000,2,1,1,Cidade Jardim
Casas,69m²,155000,2,1,1,Santa Maria
Apartamentos,45m²,200000,2,1,,Noivos
Casas,151m²,780000,4,1,2,Samapi
Casas,107m²,589325,4,4,3,Morros
Casas,22m²,80000,2,1,5 ou mais,
Apartamentos,71m²,490000,3,2,2,Uruguai
Apartamentos,124m²,690000,3,2,2,Jóquei
Apartamentos,92m²,560000,3,4,1,Fátima
Apartamentos,177m²,1100000,4,5 ou mais,2,Centro
Apartamentos,123m²,100000,4,4,3,São Cristóvão
Apartamentos,102m²,250000,4,3,2,Campestre
Casas,360m²,2980000,5 ou mais,1,3,Uruguai
Apartamentos,80m²,540000,3,3,2,Ininga
Apartamentos,255m²,1800000,4,5 ou mais,3,Horto
Apartamentos,105m²,750000,3,2,2,Fátima
Apartamentos,67m²,450000,2,1,1,Ilhotas
Casas,220m²,850000,3,2,3,Morada do Sol
Casas,120m²,290000,2,1,2,Memorare
Apartamentos,52m²,175000,2,2,1,Uruguai
Apartamentos,68m²,430000,3,2,2,Primavera
Casas,104m²,260000,4,2,3,Itararé
Casas,200m²,500000,3,2,2,Ininga
Apartamentos,45m²,145000,2,1,1,Morros
Casas,243m²,780000,4,3,4,São João
Casas,180m²,250000,3,3,1,Mocambinho
Casas,300m²,350000,3,1,2,Vale Quem Tem
Apartamentos,76m²,375000,3,2,2,Morros
Apartamentos,110m²,977139,3,4,2,Jóquei
Apartamentos,79m²,290000,3,1,1,Vale do Gavião
Apartamentos,50m²,215251,2,1,1,Uruguai
Apartamentos,49m²,130000,2,1,1,Piçarreira
Apartamentos,68m²,280000,3,2,1,Piçarreira
Apartamentos,60m²,275000,2,2,1,Uruguai
Apartamentos,153m²,1400000,3,4,5 ou mais,Núcleo Urbano Fazenda Real
Apartamentos,78m²,490000,3,3,,Monte Castelo
Casas,65m²,250000,2,2,2,
Apartamentos,51m²,220000,2,1,1,Aeroporto
Apartamentos,40m²,130000,2,1,1,Cristo Rei
Apartamentos,49m²,150000,2,1,1,Santa Isabel
Apartamentos,136m²,1500000,4,5 ou mais,2,Fátima
Casas,900m²,2000000,3,2,2,Ininga
Casas,272m²,887000,4,5 ou mais,4,Morada do Sol
Apartamentos,47m²,130000,2,1,1,Todos os Santos
Casas,250m²,165000,2,2,1,Parque Brasil
Apartamentos,57m²,170000,3,1,1,São Cristóvão
Apartamentos,200m²,1280000,4,5 ou mais,4,Jóquei
Casas,120m²,622500,4,4,2,Gurupi
Apartamentos,70m²,280000,3,2,1,São João
Casas,89m²,432275,3,2,2,Gurupi
Casas,63m²,120000,3,2,3,Esplanada
Apartamentos,74m²,410000,3,2,1,Uruguai
Casas,69m²,160000,3,2,1,Verde Lar
Casas,220m²,1150000,4,5 ou mais,4,Morros
Casas,93m²,259000,3,3,4,Tabajaras
Casas,430m²,2500000,4,5 ou mais,4,Centro
Apartamentos,205m²,1380000,4,4,3,Fátima
Casas,390m²,900000,4,3,2,Ininga
Casas,181m²,400000,4,2,4,Centro
Casas,328m²,1200000,3,5 ou mais,5 ou mais,Ininga
Apartamentos,104m²,760000,3,3,1,Jóquei
Casas,105m²,315000,3,2,5 ou mais,Vale Quem Tem
Casas,100m²,444900,3,3,2,Morros
Apartamentos,50m²,160000,2,1,1,Cidade Jardim
Casas,68m²,160000,2,1,1,Esplanada
Apartamentos,64m²,220000,2,2,1,Uruguai
Apartamentos,86m²,596000,3,3,2,Ininga
Apartamentos,46m²,115000,2,1,1,Vale do Gavião
Apartamentos,97m²,590000,3,3,2,Horto
Apartamentos,65m²,300000,3,2,1,Uruguai
Apartamentos,107m²,960000,3,3,2,Jóquei
Casas,170m²,607000,4,1,4,
Casas,230m²,485000,3,2,2,Gurupi
Casas,66m²,270000,3,3,1,Pedra Mole
Casas,70m²,120000,3,2,1,Pedra Miúda
Casas,400m²,1250000,4,4,2,Núcleo Urbano Fazenda Real
Apartamentos,55m²,155000,2,1,1,Renascença
Apartamentos,48m²,150000,2,1,1,Cidade Jardim
Apartamentos,77m²,350000,3,3,1,Campestre
Casas,67m²,35163,1,1,,
Apartamentos,78m²,492700,3,2,2,São Cristóvão
Apartamentos,68m²,354378,3,2,2,Três Andares
